Date,^MERV,^BVSP,^DJI,^GSPC,^STOXX50E,^HSI,^FTSE,^N100,^GSPTSE,^KS11,^IXIC,^AXJO,^GDAXI,^NSEI,000001.SS,FTSEMIB.MI,^FCHI,^RUT,^N225,^IBEX
2018-05-03,29503.0,83288.0,23930.150390625,2629.72998046875,3529.1201171875,30313.369140625,7502.7001953125,1058.06005859375,15621.5,2487.25,7088.14990234375,6098.2998046875,12690.150390625,10679.650390625,3100.85888671875,24064.0,5501.66015625,1546.56005859375,,10038.7998046875
2018-05-04,28553.0,83118.0,24262.509765625,2663.419921875,3550.590087890625,29926.5,7567.10009765625,1063.02001953125,15729.400390625,2461.3798828125,7209.6201171875,6062.89990234375,12819.599609375,10618.25,3091.032958984375,24335.0,5516.0498046875,1565.5999755859375,,10104.099609375
2018-05-07,27513.0,82714.0,24357.3203125,2672.6298828125,3564.18994140625,29994.259765625,,1065.97998046875,15808.599609375,,7265.2099609375,6084.5,12948.1396484375,10715.5,3136.64501953125,24544.0,5531.419921875,1578.949951171875,22467.16015625,10140.900390625
2018-05-08,26277.0,82956.0,24360.2109375,2671.919921875,3557.8798828125,30402.810546875,7565.7998046875,1066.739990234375,15842.7001953125,2449.81005859375,7266.89990234375,6091.89990234375,12912.2099609375,10717.7998046875,3161.498046875,24143.0,5521.93017578125,1586.3900146484375,22508.689453125,10168.099609375
2018-05-09,27908.0,84265.0,24542.5390625,2697.7900390625,3569.739990234375,30536.140625,7662.5,1069.9000244140625,15910.7998046875,2443.97998046875,7339.91015625,6108.0,12943.0595703125,10741.7001953125,3159.14990234375,24267.0,5534.6298828125,1596.050048828125,22408.880859375,10221.2001953125
2018-05-10,29601.0,85861.0,24739.529296875,2723.070068359375,,30809.220703125,7701.0,1070.3900146484375,15959.5,2464.159912109375,7404.97021484375,6118.7001953125,13022.8701171875,10716.5498046875,3174.4130859375,24034.0,5545.9501953125,1603.7099609375,22497.1796875,10246.599609375
2018-05-11,29852.0,85220.0,24831.169921875,2727.719970703125,3565.52001953125,31122.060546875,7724.60009765625,1070.6800537109375,15983.2998046875,2477.7099609375,7402.8798828125,6116.2001953125,13001.240234375,10806.5,3163.262939453125,24159.0,5541.93994140625,1606.7900390625,22758.48046875,10271.400390625
2018-05-14,30442.0,85232.0,24899.41015625,2730.1298828125,3565.739990234375,31541.080078125,7711.0,1071.22998046875,16085.599609375,2476.110107421875,7411.31982421875,6135.2998046875,12977.7099609375,10806.599609375,3174.031982421875,24221.0,5540.68017578125,1600.3399658203125,22865.859375,10257.7998046875
2018-05-15,30677.0,85130.0,24706.41015625,2711.449951171875,3564.2900390625,31152.029296875,7723.0,1071.489990234375,16097.7998046875,2458.5400390625,7351.6298828125,6097.7998046875,12970.0400390625,10801.849609375,3192.117919921875,24297.0,5553.16015625,1600.3399658203125,22818.01953125,10207.599609375
2018-05-16,31661.0,86537.0,24768.9296875,2722.4599609375,3562.85009765625,31110.19921875,7734.2001953125,1073.5699462890625,16108.099609375,2459.820068359375,7398.2998046875,6107.0,12996.330078125,10741.099609375,3169.56494140625,23734.0,5567.5400390625,1616.3699951171875,22717.23046875,10111.0
2018-05-17,31806.0,83622.0,24713.98046875,2720.1298828125,3592.179931640625,30942.150390625,7788.0,1083.4300537109375,16143.599609375,2448.449951171875,7382.47021484375,6094.2998046875,13114.6103515625,10682.7001953125,3154.282958984375,23802.0,5621.919921875,1625.2900390625,22838.369140625,10216.400390625
2018-05-18,31870.0,83082.0,24715.08984375,2712.969970703125,3573.760009765625,31047.91015625,7778.7998046875,1081.3499755859375,16162.2998046875,2460.64990234375,7354.33984375,6087.39990234375,13077.7197265625,10596.400390625,3193.302978515625,23450.0,5614.509765625,1626.6300048828125,22930.359375,10112.400390625
2018-05-21,31633.0,81815.0,25013.2890625,2733.010009765625,,31234.349609375,7859.2001953125,1086.1400146484375,,2465.570068359375,7394.0400390625,6084.5,,10516.7001953125,3213.840087890625,23092.0,5637.509765625,1637.43994140625,23002.369140625,10066.5
2018-05-22,30991.0,82739.0,24834.41015625,2724.43994140625,3587.25,,7877.5,1087.3900146484375,16144.7998046875,,7378.4599609375,6041.89990234375,13169.919921875,10536.7001953125,3214.35009765625,23217.0,5640.10009765625,1625.239990234375,22960.33984375,10138.7998046875
2018-05-23,30234.0,80867.0,24886.810546875,2733.2900390625,3541.820068359375,30665.640625,7788.39990234375,1075.7099609375,16133.7998046875,2471.909912109375,7425.9599609375,6032.5,12976.83984375,10430.349609375,3168.964111328125,22912.0,5565.85009765625,1627.6099853515625,22689.740234375,10025.0
2018-05-24,29665.0,80122.0,24811.759765625,2727.760009765625,3521.760009765625,30760.41015625,7716.7001953125,1072.27001953125,16113.599609375,2466.010009765625,7424.43017578125,6037.10009765625,12855.08984375,10513.849609375,3154.65087890625,22749.0,5548.4501953125,1628.219970703125,22437.009765625,9996.0
2018-05-25,,78898.0,24753.08984375,2721.330078125,3515.360107421875,30588.0390625,7730.2998046875,1071.81005859375,16075.7001953125,2460.800048828125,7433.85009765625,6032.7998046875,12938.009765625,10605.150390625,3141.302978515625,22398.0,5542.5498046875,1626.9300537109375,22450.7890625,9826.5
2018-05-28,28654.0,75356.0,,,3482.639892578125,30792.259765625,,1066.52001953125,16016.099609375,2478.9599609375,,6004.0,12863.4599609375,10688.650390625,3135.08203125,21933.0,5508.93017578125,,22481.08984375,9764.400390625
2018-05-29,28326.0,76072.0,24361.44921875,2689.860107421875,3428.139892578125,30484.580078125,7632.60009765625,1052.8399658203125,15922.599609375,2457.25,7396.58984375,6013.60009765625,12666.509765625,10633.2998046875,3120.4609375,21351.0,5438.06005859375,1623.6500244140625,22358.4296875,9521.2998046875
2018-05-30,28389.0,76754.0,24667.779296875,2724.010009765625,3441.18994140625,30056.7890625,7689.60009765625,1053.93994140625,16048.7001953125,2409.030029296875,7462.4501953125,5984.7001953125,12783.759765625,10614.349609375,3041.443115234375,21798.0,5427.35009765625,1647.989990234375,22018.51953125,9566.2001953125
2018-05-31,28559.0,,24415.83984375,2705.27001953125,3406.64990234375,30468.560546875,7678.2001953125,1049.06005859375,16061.5,2423.010009765625,7442.1201171875,6011.89990234375,12604.8896484375,10736.150390625,3095.47412109375,21784.0,5398.39990234375,1633.6099853515625,22201.8203125,9465.5
2018-06-01,28437.0,77240.0,24635.2109375,2734.6201171875,3453.5400390625,30492.91015625,7701.7998046875,1059.77001953125,16043.5,2438.9599609375,7554.330078125,5990.39990234375,12724.26953125,10696.2001953125,3075.136962890625,22110.0,5465.52978515625,1647.97998046875,22171.349609375,9632.400390625
2018-06-04,29036.0,78596.0,24813.689453125,2746.8701171875,3469.570068359375,30997.98046875,7741.2998046875,1065.050048828125,16052.2001953125,2447.760009765625,7606.4599609375,6025.5,12770.75,10628.5,3091.19091796875,22010.0,5472.91015625,1653.3699951171875,22475.939453125,9750.2998046875
2018-06-05,30359.0,76642.0,24799.98046875,2748.800048828125,3456.7900390625,31093.44921875,7686.7998046875,1063.0899658203125,16122.2998046875,2453.760009765625,7637.85986328125,5994.89990234375,12787.1298828125,10593.150390625,3114.2060546875,21750.0,5460.9501953125,1664.6300048828125,22539.5390625,9686.400390625
2018-06-06,30428.0,76117.0,25146.390625,2772.35009765625,3460.820068359375,31259.099609375,7712.39990234375,1060.0799560546875,16183.900390625,,7689.240234375,6025.10009765625,12830.0703125,10684.650390625,3115.179931640625,21808.0,5457.56005859375,1675.949951171875,22625.73046875,9791.599609375
2018-06-07,30178.0,73851.0,25241.41015625,2770.3701171875,3459.77001953125,31512.630859375,7704.39990234375,1057.3800048828125,16192.7998046875,2470.580078125,7635.06982421875,6057.2998046875,12811.0498046875,10768.349609375,3109.4990234375,21768.0,5448.35986328125,1667.77001953125,22823.259765625,9829.0
2018-06-08,31444.0,72942.0,25316.529296875,2779.030029296875,3447.300048828125,30958.2109375,7681.10009765625,1057.5400390625,16202.7001953125,2451.580078125,7645.509765625,6045.2001953125,12766.5498046875,10767.650390625,3067.14794921875,21356.0,5450.22021484375,1672.489990234375,22694.5,9746.2998046875
2018-06-11,31704.0,72308.0,25322.310546875,2782.0,3480.219970703125,31063.69921875,7737.39990234375,1064.4300537109375,16263.2998046875,2470.14990234375,7659.93017578125,,12842.91015625,10786.9501953125,3052.782958984375,22086.0,5473.91015625,1674.6800537109375,22804.0390625,9898.2998046875
2018-06-12,30749.0,72754.0,25320.73046875,2786.85009765625,3475.580078125,31103.060546875,7703.7998046875,1062.0699462890625,16289.0,2468.830078125,7703.7900390625,6054.39990234375,12842.2998046875,10842.849609375,3079.802001953125,22120.0,5453.3701171875,1682.300048828125,22878.349609375,9914.400390625
2018-06-13,30228.0,72122.0,25201.19921875,2775.6298828125,3479.56005859375,30725.150390625,7703.7001953125,1063.489990234375,16265.7998046875,,7695.7001953125,6023.5,12890.580078125,10856.7001953125,3049.797119140625,22216.0,5452.72998046875,1676.5400390625,22966.380859375,9899.099609375
2018-06-14,30115.0,71421.0,25175.310546875,2782.489990234375,3527.110107421875,30440.169921875,7765.7998046875,1075.0400390625,16329.0,2423.47998046875,7761.0400390625,6016.60009765625,13107.099609375,10808.0498046875,3044.159912109375,22486.0,5528.4599609375,1684.719970703125,22738.609375,9957.7001953125
2018-06-15,30148.0,70758.0,25090.48046875,2779.659912109375,3505.02001953125,30309.490234375,7633.89990234375,1069.4599609375,16314.400390625,2404.0400390625,7746.3798828125,6094.0,13010.5498046875,10817.7001953125,3021.90087890625,22190.0,5501.8798828125,1683.9100341796875,22851.75,9851.0
2018-06-18,27657.0,69815.0,24987.470703125,2773.75,3466.64990234375,,7631.2998046875,1060.739990234375,16383.599609375,2376.239990234375,7747.02978515625,6104.10009765625,12834.1103515625,10799.849609375,,22099.0,5450.47998046875,1692.4599609375,22680.330078125,9769.400390625
2018-06-19,29119.0,71394.0,24700.2109375,2762.590087890625,3435.300048828125,29468.150390625,7603.89990234375,1050.75,16316.5,2340.110107421875,7725.58984375,6102.10009765625,12677.9697265625,10710.4501953125,2907.822021484375,22084.0,5390.6298828125,1693.449951171875,22278.48046875,9755.400390625
2018-06-20,,72123.0,24657.80078125,2767.320068359375,3439.60009765625,29696.169921875,7627.39990234375,1048.8299560546875,16421.0,2363.909912109375,7781.509765625,6172.60009765625,12695.16015625,10772.0498046875,2915.73095703125,22121.0,5372.31005859375,1706.989990234375,22555.4296875,9788.900390625
2018-06-21,30869.0,70075.0,24461.69921875,2749.760009765625,3403.510009765625,29296.05078125,7556.39990234375,1041.8199462890625,16335.2001953125,2337.830078125,7712.9501953125,6232.10009765625,12511.91015625,10741.099609375,2875.81005859375,21673.0,5316.009765625,1688.949951171875,22693.0390625,9702.099609375
2018-06-22,30211.0,70641.0,24580.890625,2754.8798828125,3441.60009765625,29338.69921875,7682.2998046875,1054.800048828125,16450.099609375,2357.219970703125,7692.81982421875,6225.2001953125,12579.7197265625,10821.849609375,2889.760009765625,21888.0,5387.3798828125,1685.5799560546875,22516.830078125,9792.099609375
2018-06-25,28825.0,70953.0,24252.80078125,2717.070068359375,3369.2099609375,28961.390625,7509.7998046875,1034.77001953125,16184.0,2357.8798828125,7532.009765625,6210.39990234375,12270.330078125,10762.4501953125,2859.3359375,21355.0,5283.85986328125,1657.510009765625,22338.150390625,9617.900390625
