Date,Price
2025-09-09,1.1769136190414429
2025-09-10,1.1702749729156494
2025-09-11,1.1703435182571411
2025-09-12,1.1734747886657715
2025-09-15,1.1726491451263428
2025-09-16,1.1763737201690674
2025-09-17,1.1871408224105835
2025-09-18,1.1826341152191162
2025-09-19,1.1791062355041504
2025-09-22,1.1736950874328613
2025-09-23,1.1801080703735352
2025-09-24,1.1814465522766113
2025-09-25,1.1744670867919922
2025-09-26,1.166275978088379
2025-09-29,1.170823097229004
2025-09-30,1.1731443405151367
2025-10-01,1.1735849380493164
2025-10-02,1.1734058856964111
2025-10-03,1.1725116968154907
2025-10-06,1.171248197555542
2025-10-07,1.171028733253479
2025-10-08,1.1654603481292725
2025-10-09,1.1631964445114136
2025-10-10,1.156644344329834
2025-10-13,1.160240888595581
2025-10-14,1.1566845178604126
